EIN_value,Name,State,City,NTEE_Code,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
841975190,Lab Creative Inc,CA,Pleasanton,A25,NONE,LEILANI BODUCH,NONE,NONE,no,
352088071,Andromeda Movement Inc,IN,Carmel,T20,"A FORMAL APPLICATION MUST BE SUBMITTED FOR A SCHOLARSHIP. THE REQUIRED DOCUMENTION MUST INCLUDE: HIGH SCHOOL TRANSCRIPT, COURSE STUDIES, PROOF OF RESIDENCY AND A LETTER OF RECOMMENDATION.",THOMAS BURKE,APPLICATIONS MUST BE SUBMITTED BY APRIL 30 OF THE YEAR.,"SCHOLARSHIP GRANTS WILL BE PROVIDED TO ELIGIBLE CANDIDATES IN PURSUING EDUCATION OPPORTUNITIES IN THE LAST TWO YEARS OF HIGH SCHOOL, AND IN POST-SECONDARY EDUCATION, IN A FIELD OF SCIENCE RELATED OR HAVING A FUTURE CONTRIBUTION TO THE SPACE PROGRAM AND/OR CONSTRUCTION AND MAINTENANCE OF HABITATS CAPABLE OF SUPPORTING HUMAN LIFE IN SPACE, ON SATELLITES, OR ON OTHER PLANETS.",no,
465166978,Lou And Bud Kennedy Family Foundation,TX,Fair Oaks,T12,No particular form required,Charles W Kennedy Jr,,No restrictions or limitations,no,
825083706,Jack Mattsson Foundation A Nj Nonprofit Corp,NJ,Glen Rock,H12,Email to jackmattssonfoundation@gmail.com for program requirements,Rudy Mattsson,,,no,
133216256,The Eggleston Foundation 8187770,NY,Binghamton,B82,APPLICATIONS SHOULD BE SUBMITTED IN WRITING,THE EGGLESTON FOUNDATION,NONE,PUBLIC CHARITIES,no,
953607882,C S Fund,CA,Petaluma,,SEE STATEMENT 18,BAILEY MALONE,SEE STATEMENT 18,SEE STATEMENT 18,no,
541257908,Drescher Foundation,NY,New York,,"APPLICATIONS SHOULD BE BY LETTER ON THE APPLICANT'S STATIONARY AND SHOULD INDICATE THE TAX EXEMPT STATUS OF THE APPLYING ORGANIZATION, A DESCRIPTION OF THE APPLICANT'S PURPOSE AND THE OBJECTIVE AND PURPOSE OF THE GRANT.",JARED M DRESCHER-THE DRESCHER FOUND,NONE,"AWARDS MUST BE GIVEN FOR CHARITABLE, RELIGIOUS, EDUCATIONAL OR SCIENTIFIC PURPOSES.",no,
912105315,The Alfred M Senter Fund,ME,Bath,T20,APPLICATION LETTER,BATH SAVINGS TRUST CO,NONE,"GRANTS ARE RESTRICTED TO PUBLIC CHARITIES WHICH PROVIDE SERVICES IN THE STATE OF MAINE. PREFERENCE IS GIVEN TO THE TOWNS OF BRUNSWICK, TOPSHAM, DURHAM, HARPSWELL, WEST BATH, LISBON AND BATH.",no,
541201084,The Roller Bottimore Foundation,TX,Dallas,,IN WRITING - APPLICANT MUST INCLUDE FEDERAL IDENTIFICATION NUMBER APPLICATIONS WILL SOON MIGRATE TO A PROPRIETARY ONLINE PORTAL.,ORRAN L BROWN,NONE,LIMITED TO IRC SECTION 501(C)(3) ORGANIZATIONS,no,
264190675,Frank And Karen Ptak Family Foundation,FL,Boca Raton,T22,THERE IS NO STANDARD APPLICATION FORM. A LETTER REQUESTING A CONTRIBUTION IS SUFFICIENT.,FRANK PTAK,THERE ARE NO SUBMISSION DEADLINES.,"ORGANIZATIONS MUST BE EDUCATIONAL, RELIGIOUS OR CHARITABLE AS DEFINED BY IRC SECTION 170(C).",no,
586041060,Ray Dellinger Scholarship Fund Inc,GA,Cartersville,,"WRITTEN STANDARD COLLEGE SCHOLARSHIP APPLICATION ON FILE AT 108 OLD MILL ROAD, CARTERSVILLE, GA. AND HIGH SCHOOLS WITHIN BARTOW COUNTY, GA. ADDITIONAL REQUIRED MATERIALS INCLUDE OFFICIAL HIGH SCHOOL TRANSCRIPT.",MS DOT FRASIER-HALL,"DEADLINE: MARCH 11, 2022","THERE ARE NO RESTRICTIONS OR LIMITATIONS REGARDING THE AWARDING OF SCHOLARSHIP GRANTS. HOWEVER, PREFERENCE IS USUALLY GIVEN TO APPLICANTS IN THE BARTOW COUNTY, GEORGIA GEOGRAPHIC AREA.",no,
812847018,Schaffner Masonic Scholarship Foundation,IL,Sparta,T20,Letter of Request.,Kenneth Slavens,End of Calander Year,,no,
386480250,Peter & Evelyn Speerstra Scholarship Fund,OH,Cincinnati,,SEE APPLICATION ATTACHED,BARBARA PIERCE LOWELL HIGH SCHOOL,APRIL 1,"HIGH SCHOOL GRADUATES LIVING IN THE LOWELL MICHIGAN PUBLIC SCHOOL DISTRICT WHO WISH TO CONTINUE THEIR EDUCATION AT A COLLEGE, UNIVERSITY, TECHNICAL OR OTHER SIMILAR ADVANCED EDUCATION OR TRAINING.",no,
237418062,H W Wilson Foundation Inc,NY,Seaford,,LETTER WITH DESCRIPTION OF CHARITY AND ITS CHARITABLE PURPOSE.,WILLIAM STANTON,NONE,NONE,no,
116033504,Murray Foundation,VA,Great Falls,,"DETAILED LETTER EXPLAINING REASON FOR GRANT REQUEST, USE OF FUNDS, QUALIFICATIONS OF RECEIPIENT AND AMOUNT REQUESTED WITH PROGRESS REPORTS ON REQUEST.",PAUL B MURRAY JR,NONE,ONLY TAX EXEMPT ORGANIZATIONS ARE ELIGIBLE.,no,
330883785,Cnc Foundation,CA,Irvine,T22,,,,,no,
133942022,Robert Gladstone Family Foundation Inc,NY,New York,T20J,NO SPECIFIC FORM,SHAWN GLADSTONE,NONE,NONE,no,
844116367,Donald E Mayer Scholarship Fund,IL,Orland Park,B82,2 PG APPLICATION FORM 1 PAGE ESSAY AND 1 MINUTE VIDEO,VJ ANDREW HGH SCHOOL,MARCH 12TH,NONE,no,
742729929,Bamberger Foundation,TX,Johnson City,T22Z,Submit a letter outlining objectives of project budget of time and costs and details of who will direct and carry out the project.,The Bamberger Foundation,11 30 2023,"Grants are limited to no more than $10,000 to any one organization per year and are made primarily for educational projects in the fields of conservation and environmental protection.",no,
136067724,Steeplechase Fund,MD,Elkton,,"LETTER FORM - WHEN DISABLED, DOCTOR BILLS",ROSELLA HUNTER,,,no,
510301470,Delaware Dreams Inc,DE,Hockessin,T31Z,NO PRESCRIBED FORM,DENISE BAROSKI,NONE,NONE,no,
752719413,Clee And Olivia Elliott Childrens Foundation,TX,Dallas,T22Z,SUBMISSION SHOULD BE IN LETTER FORM STATING THE USE TO BE MADE OF THE GIFT AND THE QUALIFICATIONS OF THE ORGANIZATION REQUESTING THE GIFT.,CLAYTON ELLIOTT,NONE,NONE,no,
141859319,David E Simon & Jacqueline S Simon Charitable Foundation,IN,Indianapolis,T20,,DAVID AND JACQUELINE SIMON,,,no,
752260316,M W And Fair Miller Foundation Inc,TX,Bonham,,LETTER SHOULD ADDRESS PHYSICAL HANDICAP OF CHILD AND NEEDS AND/OR OTHER REQUESTED ASSISTANCE.,M W FAIR MILLER FOUNDATION,NONE,NONE,no,
222393682,Gross Foundation,FL,West Palm Bch,,"SEE STATEMENT 12 FORM 990-PF, PART XV, LINE 2A-D APPLICATION FOR SUBMISSION INFORMATION LETTER CONTAINING DESCRIPTION OF ORGANIZATION, AMOUNT OF FUNDING REQUIRED AND FOR WHAT PURPOSE.",PAUL L GROSS,NONE,NONE,no,
746050591,Kayser Foundation,TX,Houston,,A LETTER OUTLINING THE PURPOSE FOR WHICH THAT MONEY IS TO BE USED.,JEFF LOVE PRESIDENT,NONE,SHOULD BE ORGANIZATION DESCRIBED IN IRC SECTION 501 (C) (3),no,
208460936,Bethany Lutheran Foundation Offredericksburg Texas Inc,TX,Fredericksbrg,X12,"REQUESTS ARE TO BE SUBMITTED ON THE APPROVED FOUNDATION GRANT REQUEST FORM. GRANT REQUESTS MUST BE RETURNED TO BETHANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS. REQUESTS FORMS WILL BE AVAILABLE FROM JULY 1 TO SEPTEMBER 1.",BETHANY LUTHERAN FOUNDATION OF FRED,SEPTEMBER 1 AND SEPTEMBER 15.,"THE GRANT WRITER MUST BE ACTIVELY AND PERSONALLY INVOLVED IN THE ACTIVITY OR ORGANIZATION FOR WHICH THE FUNDS ARE REQUESTED. PROJECTS MUST BE IN HARMONY WITH THE MISSION STATEMENT OF BEHTANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS INC. ""ADVANCING AND SUPPORTING THE DISCIPLESHIP OF JESUS CHRIST"" WITH SPECIAL CONSIDERATION GIVEN TO LOCAL BENEVOLENCES.",no,
208460936,Bethany Lutheran Foundation Offredericksburg Texas Inc,TX,Fredericksbrg,X12,"REQUESTS ARE TO BE SUBMITTED ON THE APPROVED FOUNDATION GRANT REQUEST FORM. GRANT REQUESTS MUST BE RETURNED TO BETHANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS. REQUESTS FORMS WILL BE AVAILABLE FROM JULY 1 TO SEPTEMBER 1.",BETHANY LUTHERAN FOUNDATION OF FRED,SEPTEMBER 1 AND SEPTEMBER 15.,"THE GRANT WRITER MUST BE ACTIVELY AND PERSONALLY INVOLVED IN THE ACTIVITY OR ORGANIZATION FOR WHICH THE FUNDS ARE REQUESTED. PROJECTS MUST BE IN HARMONY WITH THE MISSION STATEMENT OF BEHTANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS INC. ""ADVANCING AND SUPPORTING THE DISCIPLESHIP OF JESUS CHRIST"" WITH SPECIAL CONSIDERATION GIVEN TO LOCAL BENEVOLENCES.",no,
208460936,Bethany Lutheran Foundation Offredericksburg Texas Inc,TX,Fredericksbrg,X12,"REQUESTS ARE TO BE SUBMITTED ON THE APPROVED FOUNDATION GRANT REQUEST FORM. GRANT REQUESTS MUST BE RETURNED TO BETHANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS. REQUESTS FORMS WILL BE AVAILABLE FROM JULY 1 TO SEPTEMBER 1.",BETHANY LUTHERAN FOUNDATION OF FRED,SEPTEMBER 1 AND SEPTEMBER 15.,"THE GRANT WRITER MUST BE ACTIVELY AND PERSONALLY INVOLVED IN THE ACTIVITY OR ORGANIZATION FOR WHICH THE FUNDS ARE REQUESTED. PROJECTS MUST BE IN HARMONY WITH THE MISSION STATEMENT OF BEHTANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS INC. ""ADVANCING AND SUPPORTING THE DISCIPLESHIP OF JESUS CHRIST"" WITH SPECIAL CONSIDERATION GIVEN TO LOCAL BENEVOLENCES.",no,
208460936,Bethany Lutheran Foundation Offredericksburg Texas Inc,TX,Fredericksbrg,X12,"REQUESTS ARE TO BE SUBMITTED ON THE APPROVED FOUNDATION GRANT REQUEST FORM. GRANT REQUESTS MUST BE RETURNED TO BETHANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS. REQUESTS FORMS WILL BE AVAILABLE FROM JULY 1 TO SEPTEMBER 1.",BETHANY LUTHERAN FOUNDATION OF FRED,SEPTEMBER 1 AND SEPTEMBER 15.,"THE GRANT WRITER MUST BE ACTIVELY AND PERSONALLY INVOLVED IN THE ACTIVITY OR ORGANIZATION FOR WHICH THE FUNDS ARE REQUESTED. PROJECTS MUST BE IN HARMONY WITH THE MISSION STATEMENT OF BEHTANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS INC. ""ADVANCING AND SUPPORTING THE DISCIPLESHIP OF JESUS CHRIST"" WITH SPECIAL CONSIDERATION GIVEN TO LOCAL BENEVOLENCES.",no,
237278001,Oklahoma Christian Counseling Center Inc,OK,Oklahoma City,P46Z,NO SPECIFIC FORMAT,LINDSEY BROCK,NONE,NONE,no,
352157206,Steenberg Family Mutual Benefit Foundation Inc,IN,Boonville,T22,NO REQUIRED FORMS,LAURENCE STEENBERG,NONE,FOR CHARITABLE PURPOSE,no,
264765351,Samadi Robotics Foundation,NY,New York,H30,,St Francis Foundation,December 31,,no,
753140887,Tracy T & Michael R Fernbacher Foundation,MA,Great Barrington,T20,,TRACY FERNBACHER,,,no,
753140887,Tracy T & Michael R Fernbacher Foundation,MA,Great Barrington,T20,,TRACY FERNBACHER,,,no,
753140887,Tracy T & Michael R Fernbacher Foundation,MA,Great Barrington,T20,,TRACY FERNBACHER,,,no,
753140887,Tracy T & Michael R Fernbacher Foundation,MA,Great Barrington,T20,,TRACY FERNBACHER,,,no,
834530801,Lincoln Police Union Memorial Fund,NE,Lincoln,I60,REQUEST SHOULD BE IN WRITING AND MAILED TO ADDRESS NOTED,MAX HUBKA,THERE ARE NO SUBMISSION DEADLINES,NO RESTRICTIONS,no,
834530801,Lincoln Police Union Memorial Fund,NE,Lincoln,I60,REQUEST SHOULD BE IN WRITING AND MAILED TO ADDRESS NOTED,MAX HUBKA,THERE ARE NO SUBMISSION DEADLINES,NO RESTRICTIONS,no,
834530801,Lincoln Police Union Memorial Fund,NE,Lincoln,I60,REQUEST SHOULD BE IN WRITING AND MAILED TO ADDRESS NOTED,MAX HUBKA,THERE ARE NO SUBMISSION DEADLINES,NO RESTRICTIONS,no,
834530801,Lincoln Police Union Memorial Fund,NE,Lincoln,I60,REQUEST SHOULD BE IN WRITING AND MAILED TO ADDRESS NOTED,MAX HUBKA,THERE ARE NO SUBMISSION DEADLINES,NO RESTRICTIONS,no,
953538758,Yanks Air Museum,CA,Baldwin Park,A50,NOT APPLICABLE,CHARLES F NICHOLS,NOT APPLICABLE NON APPLICABLE,NOT APPLICABLE,no,
311139525,Dayton Bar Association Foundation,OH,Dayton,,LETTER FORM WITH REQUEST AND USE OF FUNDS.,JENNIFER OTCHY,NO DEADLINE,LEGAL EDUCATION IN OHIO,no,
581873723,Earth Angels Inc,GA,Alpharetta,P20,FORM AVAILABLE UPON REQUEST,ELIZABETH BROWN DIXON,NONE,APPLICANTS MUST BE REFERRED BY ANOTHER ORGANIZATION.,no,
824194664,Idaho Fraternal Order Of Police Foundation Inc,ID,Blackfoot,I12,Requests can be submitted in letter form or online application,Idaho Fraternal Order of Police,,A member of the Idaho Fraternal Order of Police Foundation,no,
371234288,Joan Camp Memorial Scholarship Foundation,IL,Princeville,,SCHOLARSHIP APPLICATION FORM OBTAINABLE FROM ANN WEYHRICH,ANN WEYHRICH,NONE,NURSING STUDENT FROM THE PRINCEVILLE SCHOOL DISTRICT #326,no,
260782312,Schwartz Family Veterinaryscholarship And Animal Welfare Foun,CA,San Jose,B82,,LOREE SCHWARTZ,,,no,
205027803,Richard Baidas Memorial Scholarship Fdn,MI,Milford,T20,,,,FUNDS MADE AVAILABLE TO CHILDREN OF EMPLOYEES THAT HAVE BEEN EMPLOYED BY COMPANY FOR AT LEAST FIVE YEARS OR FOR THE GRANDCHILDREN OF EMPLOYEES THAT HAVE BEEN EMPLOYED FOR AT LEAST FIFTEEN YEARS.,no,
366101775,Butler Family Foundation,IL,Lake Forest,T20Z,THERE ARE NO STANDARD APPLICATION FORMS. A LETTER REQUESTING A CONTRIBUTION IS SUFFICIENT.,KAREN B CONNELL,THERE ARE NO SUBMISSION DEADLINES.,"ORGANIZATIONS MUST BE EDUCATIONAL, RELIGIOUS, OR CHARITABLE AS DEFINED UNDER IRC SECTION 170(C).",no,
43556853,Scully Family Foundation,MA,Cambridge,T22,WRITTEN FORMAT,ROSMARIE H SCULLY,NONE,NONE,no,
43235379,Poduska Family Foundation Inc,MA,Weston,,Letter of Request,Susan M Poduska,,,no,
476874927,June Harwood Charitable Tr,CA,Glendale,T20,,DENNIS REED,NONE,NONE,no,
46907315,The Romney Foundation For Children,MA,Boston,T20,NO SPECIAL FORM,THE ROMNEY FOUNDATION FOR CHILDREN,,,no,
521300410,Harrison & Conrad Memorial Trust 022006310742,TX,Dallas,,APPLICATIONS SHOULD BE SUBMITTED IN WRITTEN FORM INDICATING THE NEED INVOLVED AND A STATEMENT OF FACTS OUTLINING THE SITUATION. APPLICANTS ARE SCREENED BY INTERVIEWS ON AN INDIVIDUAL BASIS.,HARRISON CONRAD MEMORIAL TRUST CO,APRIL 1ST,"PER TERMS OF WILL: CHILDREN FROM THE TOWN OF LEESBURG OR LOUDON COUNTY VIRGINIA, SUFFERING POLIO OR MUSCLAR DYSTROPHY OR ANY OTHER CRIPPLING DISEASE WHOSE FAMILIES CANNOT AFFORD TO PROVIDE FOR THEIR EXPENSES.",no,
66138018,Charles F Williams Estate Tr,TX,Dallas,,ANY,SELECTION COMMITTEE AT THE CATHEDRA,NONE,GRADUATES OF THE CATHEDRAL CHOIR SCHOOL REQUIRING MONETARY ASSISTANCE FOR FURTHER EDUCATION. MONEY CAN BE USED FOR THE CARE AND EDUCATION OF THE STUDENT AT THE SCHOOL OR ASSIST GRADUATES OF THE SCHOOL,no,
396097597,Stackner Family Foundation Inc,WI,Milwaukee,,"LETTER OF APPLICATION SETTING FORTH THE PROGRAM OR PROJECT FOR WHICH THE GRANT IS SOUGHT ENCLOSING BROCHURES OR OTHER MATERIAL, BUDGET INFORMATION, C/IRS 501(C)(3) EXEMPTION LETTER, LIST OF BOARD OF DIRECTORS.",JOHN A TREIBER EXECUTIVE DIRECTOR,"PRIOR TO QUARTERLY MEETING IN JAN, APRIL, JULY AND OCTOBER.","GREATER MILWAUKEE, WI; NO INDIVIDUAL GRANTS; NO SCHOLARSHIPS.",no,
611580005,Thomas J And Carol J Joseph Foundation Inc,WI,Omro,T23,Letter Format,Thomas J Joseph,,,no,
741386236,Louise L Morrison Trust,TX,San Antonio,X12,REQUEST FOR GRANT SHOULD BE RECEIVED ON ORGANIZATION'S LETTERHEAD AND SIGNED BY A MEMBER OF THE BOARD OF DIRECTORS OR AN OFFICER. PROVIDE:,Melissa Adams,A) SPECIFIC INFORMATION RELATED TO USE OF GRANT B) COPY OF IRS EXEMPTION LETTER,"C) MOST RECENT FINANCIAL STATEMENT D) LIST OF BOARD MEMBERS E) CHARTER AND/OR BY LAWS F) PROJECT BUDGET G) IRS FORM W-9 SUBMISSION DEADLINES: MARCH 31, JULY 31, AND OCTOBER 31",no,
454092966,Stephen W Craig Family Foundation Inc,CT,Greenwich,T20,The Foundation accepts direct mail solictation from nationally recognized charitable organizations as well selected other charitable organization. All charitable organization are researched to ensure charitable recognition and effectiveness of the organizations. The Foundation also accept written applications detailing purpose of request (use of funds) and how it furthers the exempt purpose of the requesting organization. Application must include determination letter and copy of lastest 990 and financial statements,Stephen W Craig,"None, Accepted throughout year",,no,
223125086,Waterman Foundation Inc,FL,Naples,,"LETTER WITH FINANCIAL INFORMATION AND TYPE OF ORGANIZATION, CHARTABLE, EDUCATION",JOHN MOORE,NO,CONTRIBUTIONS MADE ONLY TO QUALIFIED AND TAX-EXEMPT ORGANIZATIONS,no,
20814904,The Kharis Foundation Inc,IN,Schererville,T20,Letter of request,Norman and Diane Aardema,,,no,
461631934,Obrate Foundation,KS,Garden City,T22,"GRANT APPLICATIONS ARE TO BE COMPLETED ONLINE. THE INFORMATION SHOULD INCLUDE DETAIL ON THE IMMEDIATE AND EMERGENCY NEEDS OF THE APPLICANT, AS WELL AS THE PURPOSE OF THE AID REQUESTED (REQUIRED IN AN ESSAY FORMAT). THE FINANCIAL NEED FOR THE APPLICANT IS ALSO VERIFIED EITHER THROUGH THE FREE/REDUCED MEAL PROGRAM PARTICIPATION AT SCHOOL, TAX RETURNS THAT SHOW IRS ADJUSTED GROSS INCOME AT THE POVERTY LEVEL, OR MONTHLY INCOME STATEMENTS PROVIDED THAT SHOW THE APPLICANT IS AT OR BELOW THE POVERTY LEVEL.",JAYRE ZIMMERMAN,NONE AS THE PROGRAM IS OPEN AND ONGOING.,NONE AT THIS TIME. THE PROGRAM IS EVIDENCE-BASED REGARDING NEED ON AN INDIVIDUAL APPLICATION BASIS.,no,
742875627,Ted Nash Long Life Foundation,TX,Waco,T30Z,"TED NASH LONG LIFE FOUNDATION EACH APPLICATION SHOULD BEGIN WITH A DESCRIPTIVE TITLE, FOLLOWED BY SUMMARY OF ABOUT 250 WORDS, AND FINALLY, A DESCRIPTION OF THE PROPOSED RESEARCH OF ABOUT 1,000 WORDS. THE APPLICATION SHOULD BE WRITTEN FOR LAYMEN WITH A REASONABLE KNOWLEDGE OF MEDICINE. THERE WILL BE A COVER PAGE WITH EACH GRANT THAT IDENTIFIES THE INSTITUTION AND THE PRINCIPAL INVESTIGATOR. THE COVER PAGE WILL BE REMOVED BEFORE THE GRANTS ARE REVIEWED BY THE BOARD OF DIRECTORS AND THEIR ADVISORS SO THAT THE PRINCIPAL INVESTIGATORS AND THE INSTITUTIONS THAT SUBMITTED THE GRANTS WILL NOT BE KNOWN TO THE BOARD OF DIRECTORS.",TED NASH LONG LIFE FOUNDATION,TED NASH LONG LIFE FOUNDATION OCTOBER 1ST,"TED NASH LONG LIFE FOUNDATION THE SEVEN MEDICAL SCHOOLS IN THE STATE OF TEXAS AND THE MAYO CLINIC CAN EACH SUBMIT TWO APPLICATIONS. TWO TO SIX GRANTS WILL BE AWARDED AT THE LEVEL OF UP TO $100,000 PER YEAR FOR TWO YEARS.",no,
274256513,John P Previti Memorial Foundation,CA,Ontario,T22,"EMAIL REQUEST INCLUDING DETAILED DESCRIPTION OF THE CAUSE, AMOUNT REQUESTED, FULL NAME, ADDRESS, AND PHONE NUMBER OF RECIPIENT.",JACKIE WILLIAMS,NONE,GRANTS WILL BE AWARDED ON A CASE BY CASE BASIS.,no,
453036156,Loralee Foundation,TX,Austin,E86,,SHAYNE ANDERSON,,,no,
208931607,Nithya Foundation Inc,TX,Houston,T22,Letter request,John V Samuel,,,no,
371098809,Nick Carter Scholarship Fund,IL,Beardstown,,As supplied by Beardstown High School,Beardstown High School,May 1 annually,Must be a graduate of Beardstown High School,no,
426062134,Abner & Eliza Black Memorial Fund,IA,Winterset,,SEE ATTACHED,CAROL KIERNAN,NONE,"APPLICANTS MUST BE RESIDENTS OF MADISON COUNTY, IOWA, PHYSICALLY HANDICAPPED, AND UNDER THE AGE OF 21 YEARS WHEN THEY FIRST APPLY.",no,
912052424,Timms Family Foundation Trust 033000,WV,Bridgeport,B82,SEE ATTACHED SCHOLARSHIP APPLICATION FORM.,LEONARD J TIMMS JR,FEBRARY 15,"MUST BE A RESIDENT OF THE FOLLOWING COUNTIES IN WV - HARRISON, MARION, DODDRIDGE, TAYLOR; MUST MAJOR IN DANCE, MUSICAL THEATRE, DRAMA OR VOCAL PERFORMANCE; THE SCHOLARSHIP IS FOR ONE YEAR ONLY, BUT MAY BE RENEWED BY REAPPLICATION; SCHOLARSHIP RANGE IS FROM 500 - 3,000 PER YEAR.",no,
311579648,Renaissance Foundation,IL,St Charles,T31,"IN WRITING WITH SPECIFIC DETAILS AS TO HOW THE FUNDS WILL BE USED.IN PARTICULAR THE NUMBER OF PERSONS IT WILL ASSIST, HOW IT WILL ASSIST THEM AND IF CHILDREN ARE BEING HELPED.",THE RENAISSANCE FOUNDATION,NONE,HIGHER PRIORITY IS GIVEN TO PROGRAMS ASSISTING CHILDREN,no,
463149634,Lodi Police Canine Association,CA,Lodi,T23,,WILLIAM HINTON,,,no,
930477693,Pendleton Community Memorial Health Corporation,OR,Pendleton,,APPLICATIONS AVAILABLE UPON REQUEST.,DAN CENIGA,SEE STATEMENT FOR LINE 2A,SEE STATEMENT FOR LINE 2A,no,
