EIN_value,Name,Gross_Revenue,Net_Revenue,Tax_Period_Year,PDF_URL,City,State,NTEE_Code,Form_Type
10095740,International Brotherhood Of Teamsters,2683254,164085,2021,,S Portland,ME,,0
10096117,Island Country Club,365652,14711,2021,,Deer Isle,ME,N50,0
10100593,Kennebunk River Club,641679,27526,2021,,Kennebunkport,ME,,0
10104905,Laurel Hill Cemetery Association,1160779,321996,2021,,Saco,ME,,0
10113840,American Federation Of Labor & Congress Of Industrial Orgs,791731,86744,2021,,Augusta,ME,,0
10114035,Maine Education Association,9353123,696773,2021,,Augusta,ME,,0
10114110,Maine Water Utilities Association,649493,36923,2021,,Augusta,ME,,0
10114140,Maine Womans Christian Temperance,8012,-363,2022,,Portland,ME,,0
10116380,Masonic Trustees Of Portland,124149,-66004,2021,,Portland,ME,S47,0
10116390,Kora Shriners,823028,426093,2021,,Lewiston,ME,,0
10119375,Megantic Fish & Game Corp,910599,174243,2021,,Falmouth,ME,N61Z,0
10119385,Megunticook Golf Club,881497,6109,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010119385_202110_990O_2022080220262203.pdf,Rockport,ME,,0
10124810,Mt Hope Cemetery Corp,1323972,413267,2021,,Bangor,ME,,0
10124841,Mt Pleasant Cemetery Corp,73036,26296,2021,,S Portland,ME,,0
10127336,New Auburn Social Club Inc,408334,214913,2021,,Auburn,ME,,0
10130185,North Haven Casino,275902,40234,2021,,North Haven,ME,,0
10130335,Northeast Harbor Tennis Club,846115,211741,2021,,Mount Desert,ME,,0
10130427,Bridgton Hospital,55206126,6760096,2021,,Bridgton,ME,E220,0
10130865,Norway Pine Grove Cemetery Corp,72383,19782,2022,,Norway,ME,Y50,0
10131335,Oak Grove Cemetery Asso,372563,285676,2021,,Gardiner,ME,,0
10131390,Oakdale Country Club,237337,5574,2021,,Mexico,ME,N31,0
10132580,Oquossoc Angling Assoc,268790,20857,2021,,Smyrna,GA,,0
10132610,Orchard Grove Cemetery Association,53154,17874,2021,,Kittery,ME,Y52Z,0
10132610,Orchard Grove Cemetery Association,53154,17874,2021,,Kittery,ME,Y52Z,0
10132625,Order Of The Eastern Star Of Maine,53670,-129563,2021,,Peru,ME,,0
10133442,Oxford County Agricultural Society,318915,-41258,2021,,Norway,ME,Z99,0
10135937,Le Passe Temps Inc,349133,68800,2021,,Lewiston,ME,,0
10140290,Pine Grove Cemetery Corp,376317,260445,2021,,Falmouth,ME,,0
10142660,Portland Country Club,5682051,1128664,2022,,Falmouth,ME,,0
10143485,Portland Yacht Club,1212591,62073,2021,,Falmouth,ME,,0
10145133,Prouts Neck Association,175420,-35539,2021,,Scarborough,ME,,0
10145135,Prouts Neck Country Club,2379032,496879,2021,,Scarborough,ME,,0
10145138,Prouts Neck Yacht Club,514935,24074,2021,,Scarborough,ME,,0
10145780,Purpoodock Club,2350676,174557,2022,,Cape Eliz,ME,,0
10145780,Purpoodock Club,2350676,174557,2022,,Cape Eliz,ME,,0
10147000,Rangeley Library Association,158485,-44999,2022,,Rangeley,ME,B71Z,0
10153868,Sagadahoc Agricultural & Horticultural Society,693236,25874,2021,,Topsham,ME,K20,0
10155360,Maine Bankers Association,2596139,142562,2021,,Westbrook,ME,,0
10162690,Sorrento Village Improvement Association,241212,34422,2021,,Sorrento,ME,,0
10165110,Maine Tourism Association,2872904,473295,2021,,Hallowell,ME,,0
10165117,Retail Association Of Maine,534767,70587,2021,,Augusta,ME,,0
10170013,Anah Shriners,929808,299548,2021,,Bangor,ME,,0
10173095,Trefethen Evergreen Improvement,331800,86357,2021,,Peaks Island,ME,,0
10174648,Order Of The Eastern Star Of New Hampshire Grand Chapter,162470,95250,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010174648_202109_990O_2022082220288372.pdf,Nashua,NH,,0
10178800,Mid Maine Chamber Of Commerce,783807,27303,2021,,Waterville,ME,,0
10180531,West Oxford Agricultural Society,4490568,1036259,2021,,Fryeburg,ME,N520,0
10180687,Windsor Improvement Corporation,293418,61897,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_04_2022_prefixes_01-14%2F010180687_202106_990T_2022041519866347.pdf,Windsor,VT,S30,0
10186375,York Harbor Reading Room,943414,-16162,2021,,York Harbor,ME,,0
10186800,Young Mens Christian Association State Of Maine,922646,55242,2021,,Winthrop,ME,P27Z,0
10187940,Rockland Cemetery Association,4157009,3767327,2021,,Rockland,ME,Y52Z,0
10191203,Maine Automobile Dealers Association Inc,1081224,112158,2022,,Augusta,ME,,0
10191203,Maine Automobile Dealers Association Inc,1081224,112158,2022,,Augusta,ME,,0
10191550,Northern Maine Fair Association,235275,59153,2021,,Presque Isle,ME,N52,0
10191822,Department Of Maine Veterans Of Foreign Wars Of The United States,319534,22367,2021,,Rumford,ME,,0
10195310,York Chamber Of Commerce,227960,281,2021,,York,ME,,0
10196359,Iris Network,2683947,522501,2021,,Portland,ME,,0
10198331,Maine Coast Regional Health Facili Dba Northern Light Maine Coast Hos,92170287,-825674,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010198331_202109_990_2022082220290539.pdf,Brewer,ME,E220,0
10198980,Northeast Harbor Fleet,399306,113044,2021,,Ne Harbor,ME,,0
10199142,Abenakee Club,725683,61766,2021,,Biddeford,ME,,0
10199224,Veterans Of Foreign Wars Of The United States Dept Of Maine,187156,6784,2022,,Rumford,ME,W30,0
10199433,The Portland Players Inc,228972,96514,2022,,S Portland,ME,A650,0
10199596,Womens Board Of The Maine Medical Center,752432,-61923,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010199596_202109_990_2022082220292488.pdf,Portland,ME,,0
10199895,American Legion Post 0147 Thos O Cyr,331440,111120,2022,,Madawaska,ME,,0
10201854,American Legion,194560,73327,2022,,Winthrop,ME,,0
10202445,Grindstone Association,677119,201603,2021,,Winter Harbor,ME,,0
10202467,Mount Desert Island Biological Laboratory,21825438,8129711,2021,,Salsbury Cove,ME,U500,0
10203708,American Legion,209413,-8782,2021,,Rockland,ME,,0
10203708,American Legion,209413,-8782,2021,,Rockland,ME,,0
10204000,Maine Service Employees Asso Service Employees Int Union L 1989,5032371,314385,2021,,Agusta,ME,,0
10204920,Waterville Country Club Incorporated,1286580,226823,2021,,Oakland,ME,,0
10206386,Blue Hill Country Club Inc,600481,95874,2021,,Blue Hill,ME,,0
10206454,Ledgelawn Cemetery Incorporated,96471,59941,2021,,Bar Harbor,ME,,0
10207022,Fairmount Cemetery Assoc,120467,9895,2021,,Presque Isle,ME,,0
10207716,Victoria Mansion,502419,108434,2021,,Portland,ME,A82Z,0
10207850,American Legion Grover Hinckley,21463,-30920,2021,,Fairfield,ME,,0
10210495,American Legion Post 0015 Henry B Pratt,76354,25846,2021,,Caribou,ME,,0
10210861,Phi Gamma Delta,219345,3477,2022,,Orono,ME,P20,0
10211476,The Chapman House,5135687,3163862,2021,,Auburn,ME,P75Z,0
10211478,Heart Of Maine United Way,3233718,595486,2021,,Bangor,ME,T700,0
10211481,Bangor Childrens Home,935425,37946,2021,,Bangor,ME,B21Z,0
10211483,Community Health And Counseling Services,35681479,2560829,2021,,Bangor,ME,F320,0
10211485,Bangor Young Mens Christian Association,15937355,10606448,2021,,Bangor,ME,P270,0
10211486,Mt Desert Island Ymca,2430638,968612,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010211486_202109_990_2022082220290434.pdf,Bar Harbor,ME,P270,0
10211488,Trustees Of Bloomfield Academy,591288,230040,2022,,Skowhegan,ME,A82Z,0
10211489,Boy Scouts Of America,1392785,99644,2021,,Bangor,ME,,0
10211490,Boy Scouts Of America,2677745,1042018,2021,,Raymond,ME,,0
10211494,Central Maine Medical Center,415757957,-19102487,2021,,Lewiston,ME,E220,0
10211497,President & Trustees Of Colby College,290124000,59676000,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F010211497_202106_990_2022071120199416.pdf,Waterville,ME,B420,0
10211501,Eastern Maine Medical Center,1102571777,58027462,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010211501_202109_990_2022082220290531.pdf,Brewer,ME,E200,0
10211502,Eastport Public Library Association,912373,797158,2022,,Eastport,ME,B700,0
10211505,The Trustees Of Fryeburg Academy,20722502,5866273,2021,,Fryeburg,ME,B25Z,0
10211507,Good Samaritan Agency,656998,143331,2021,,Bangor,ME,,0
10211508,Good Will Home Association,5842955,-650247,2021,,Hinckley,ME,P730,0
10211509,Gould Academy,16747864,307537,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F010211509_202106_990_2022071920233174.pdf,Bethel,ME,B250,0
10211512,Home For The Aged,7577034,-812505,2021,,Portland,ME,P750,0
10211513,Jackson Laboratory,572874395,63379140,2021,,Bar Harbor,ME,H920,0
10211517,Cedars Nursing Care Center Inc,13299621,-1280509,2021,,Portland,ME,E91Z,0
10211530,Maine Historical Society,2642638,519096,2021,,Portland,ME,A82Z,0
10211532,Kents Hill School,14611180,365774,2021,,Kents Hill,ME,,0
10211533,Mcarthur Library Association,506346,-801103,2022,,Biddeford,ME,B71Z,0
10211534,Mercy Hospital,253284486,10655679,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010211534_202109_990_2022082220290538.pdf,Brewer,ME,E220,0
10211536,North Yarmouth Academy,17214127,4360168,2022,,Yarmouth,ME,B250,0
10211538,Camp O At Ka Inc,2157855,892793,2021,,Sebago,ME,N20Z,0
10211539,Patten Free Library,1415338,367383,2022,,Bath,ME,B71Z,0
10211542,Catherine Morrill Day Nursery,1447112,131155,2021,,Portland,ME,P330,0
10211543,Boys & Girls Clubs Of Southern Maine,5388732,2123070,2021,,Portland,ME,O210,0
10211546,Community Health & Nursing Services,11573797,3316209,2021,,Brunswick,ME,E90Z,0
10211548,Redington Memorial Hospital Association,2383923,1543911,2021,,Skowhegan,ME,E22I,0
10211548,Redington Memorial Hospital Association,2383923,1543911,2021,,Skowhegan,ME,E22I,0
10211551,St Marys Regional Medical Center,248635435,-6962340,2021,,Lewiston,ME,E220,0
10211564,United Way Of Androscoggin County Inc,1022027,-159995,2021,,Lewiston,ME,,0
10211565,Waynflete School,23025527,697016,2021,,Portland,ME,B200,0
10211567,Young Mens Christian Association Auburn Lewiston Maine,4117782,987277,2021,,Auburn,ME,P27Z,0
10211568,Young Mens Christian Association Of Southern Maine,7079431,-868598,2021,,Portland,ME,,0
10211568,Young Mens Christian Association Of Southern Maine,7079431,-868598,2021,,Portland,ME,,0
10211569,Ywca Of Mount Desert Island,625326,77786,2021,,Bar Harbor,ME,,0
10211570,Ywca Central Maine,2323418,808178,2022,,Lewiston,ME,P270,0
10211777,Abbe Museum,816686,-57654,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010211777_202109_990_2022080220263271.pdf,Bar Harbor,ME,A500,0
10211781,President And Trustees Of Bates College,193955130,31687338,2021,,Lewiston,ME,B420,0
10211784,Ketcha Outdoors,2183311,487872,2021,,Scarborough,ME,O43,0
10211791,Seventy Five State Street,7315171,-44500,2021,,Portland,ME,L22Z,0
10211797,Mount Desert Island Hospital,83223429,9808577,2021,,Bar Harbor,ME,E22Z,0
10211798,Mount Desert Nursing Association,986839,153108,2021,,Ne Harbor,ME,E90C,0
10211807,Sweetser,66475460,4975071,2021,,Saco,ME,P300,0
10211810,University Of New England,272571933,46217077,2021,,Biddeford,ME,B430,0
10211811,Kennebec Valley Ymca,3123548,248241,2021,,Augusta,ME,,0
10211812,Bath Area Family Ymca,3889439,738963,2021,,Bath,ME,P27Z,0
10211813,Penobscot Bay Ymca,4267385,138556,2021,,Rockport,ME,P270,0
10211814,Young Mens Christian Association Sanford Springvale,3686573,781669,2021,,Sanford,ME,,0
10212172,Webber Avenue Club Inc,258070,39709,2021,,Lewiston,ME,,0
10212181,Old Orchard Beach Chamber Of Commerce,255409,-1455,2021,,Old Orchd Bch,ME,,0
10212435,St Joseph Hospital,183023757,1710720,2021,,Bangor,ME,E220,0
10212438,Maine Central Institute,10693279,899004,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F010212438_202106_990_2022071920233220.pdf,Pittsfield,ME,B250,0
10212442,Pine Tree Society Inc,13670017,5724826,2021,,Bath,ME,B28Z,0
10212444,York Hospital,221452190,12673095,2021,,York,ME,E220,0
10212541,Animal Refuge League Of Greater Portland,4686899,860572,2021,,Westbrook,ME,D200,0
10212542,Trustees Of St Josephs College,58358813,6433755,2021,,Standish,ME,B430,0
10212545,Maine State Society For The Protection Of Animals,1438348,113518,2021,,South Windham,ME,D200,0
10212602,Blue Hill Public Library Inc,1954508,1201407,2021,,Blue Hill,ME,B71Z,0
10213361,Rockland District Nursing Assn Inc,214749,25527,2022,,Rockland,ME,,0
10213976,Quarry Hill,10837530,-2040097,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010213976_202109_990_2022082220290784.pdf,Belfast,ME,E91Z,0
10213979,Eastport Memorial Hospital,2712991,210603,2021,,Eastport,ME,E92Z,0
10214017,Jesup Memorial Library,2324945,1520565,2021,,Bar Harbor,ME,B71Z,0
10215213,Bowdoin College,359057000,118716000,2021,,Brunswick,ME,B420,0
10215227,Rumford Hospital,46142304,3933253,2021,,Rumford,ME,E220,0
10215686,Rice Public Library,252454,-254079,2022,,Kittery,ME,B71Z,0
10215910,Bangor Humane Society,1817172,382619,2022,,Bangor,ME,D200,0
10215913,Buck Memorial Library,202786,94257,2021,,Bucksport,ME,,0
10215915,Hancock County Trustees Of Public Reservations,1553849,1238801,2021,,Ellsworth,ME,A80,0
10216328,Evergreen Credit Union,18374213,1676935,2021,,Portland,ME,,0
10216339,Frank D Hazeltine Post 43 American Legion Maine Dept,109119,19565,2021,,Belfast,ME,,0
10216655,Independent Order Of Odd Fellows,4376048,225034,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F010216655_202106_990_2022071120201165.pdf,Auburn,ME,P750,0
10216657,Sanford Library Association,997039,403973,2022,,Sanford,ME,,0
10216837,Maine Seacoast Mission,6067489,1601412,2022,,Northeast Harbor,ME,,0
10216837,Maine Seacoast Mission,6067489,1601412,2022,,Northeast Harbor,ME,,0
10216888,Wolves Social Club Inc,499413,227012,2021,,Sanford,ME,,0
10216933,Maine Medical Association,2158202,189534,2021,,Manchester,ME,,0
10216941,Seal Harbor Village Improvement Society Inc,145482,726,2022,,Seal Harbor,ME,C500,0
10217211,Eastern Maine Healthcare Systems,81233904,2782115,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010217211_202109_990_2022082220290674.pdf,Brewer,ME,E200,0
10217234,Biddeford Pool Yacht Club Inc,315860,38137,2021,,Biddeford Pl,ME,,0
10217277,Maine Farm Bureau Association,330143,143950,2021,,Augusta,ME,,0
10217552,Kollege Widgwok Yacht Club,326476,32313,2021,,Blue Hill,ME,,0
10217639,Wayfinder Schools,790106,47746,2021,,Camden,ME,P70Z,0
10218055,Pot And Kettle Club,234699,-77076,2021,,Southwest Hbr,ME,,0
10219126,Lincoln Academy,16577404,5870059,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F010219126_202106_990_2022071820229255.pdf,Newcastle,ME,B250,0
10219810,Main Insurance Agents Assoc,941041,57876,2022,,Hallowell,ME,,0
10219828,Old Orchard Beach Free Public Library Association,322977,-7973,2021,,Old Orchd Bch,ME,B70,0
10219829,Sarah Frye Home,1421566,-23104,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010219829_202109_990_2022082220291999.pdf,Auburn,ME,,0
10220091,Northeast Harbor Library,1018426,368526,2021,,Ne Harbor,ME,B71Z,0
10220179,Fraternal Order Of Eagles,279551,-37381,2022,,Westbrook,ME,,0
10220430,Lincoln Home,4384248,63806,2021,,Newcastle,ME,P750,0
10220588,Maine Better Transportation Association,824217,161810,2021,,Augusta,ME,,0
10220724,Boothbay Harbor Region Chamber Of Commerce,352038,93644,2021,,Boothbay Hbr,ME,,0
10221126,Castine Community Hospital,217847,147894,2022,,Castine,ME,E39Z,0
10221344,Bridgton Academy,9387178,-633680,2021,,N Bridgton,ME,B31Z,0
10222130,Fairview Hospital Inc,429942,315281,2021,,Skowhegan,ME,E21Z,0
10222130,Fairview Hospital Inc,429942,315281,2021,,Skowhegan,ME,E21Z,0
10223014,Ocean Park Association,686431,114908,2021,,Ocean Park,ME,S220,0
10223482,Millinocket Regional Hospital,34169661,3789035,2021,,Millinocket,ME,E220,0
10223755,Berwick Academy Trustees,28954341,5192239,2021,,South Berwick,ME,B200,0
10223879,Skowhegan State Fair,1549917,289717,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F010223879_202109_990T_2022071820223889.pdf,Skowhegan,ME,N520,0
10223898,Windsor Fair,1471535,168416,2021,,Farmingdale,ME,,0
10224138,Rockland Festival Corporation,-244,-78353,2021,,Rockland,ME,,0
10224214,Union Fair Society,681776,107320,2022,,Union,ME,,0
10224214,Union Fair Society,681776,107320,2022,,Union,ME,,0
10224532,Friend Memorial Public Library Inc,287251,103693,2021,,Brooklin,ME,B700,0
10224627,Boothbay Harbor Memorial Library Association,462784,84805,2021,,Boothbay Hbr,ME,B71Z,0
10224718,Cumberland Farmers Club,1350925,-64636,2021,,Cumberland,ME,N52,0
10224769,Trustees Of Thornton Academy,34768961,6151571,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F010224769_202106_990_2022071120206170.pdf,Saco,ME,B25Z,0
10224898,Hebron Academy Incorporated,19279313,3381693,2021,,Hebron,ME,B200,0
10225008,Franklin County Agricultural Society,735677,26322,2021,,Farmington,ME,,0
10225008,Franklin County Agricultural Society,735677,26322,2021,,Farmington,ME,,0
10225267,Tarratine Club Of Dark Harbor,2091747,433841,2021,,Islesboro,ME,,0
10226195,International Brotherhood Of Electrical Workers,581069,76491,2021,,Newport,ME,,0
10226382,Maine Osteopathic Association,308002,-8537,2021,,Manchester,ME,,0
10227184,Androscoggin Home Health Services Inc,52066043,5253570,2021,,Lewiston,ME,E92Z,0
10227195,Blue Hill Memorial Hospital Inc,45377648,6084414,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010227195_202109_990_2022082220290308.pdf,Brewer,ME,E22Z,0
10227440,Educational Bureau,1080982,972732,2021,,Ocean Park,ME,B99,0
10227743,Benevolent & Protective Order Of Elks Of The Usa,148551,5584,2022,,Saco,ME,,0
10228262,Northeast Hearing & Speech Center Inc,2851053,798262,2021,,Portland,ME,E56Z,0
10228578,Springvale Social Club,329055,50385,2021,,Springvale,ME,,0
10229448,Washington Academy,6354739,774016,2022,,East Machias,ME,B25Z,0
10229448,Washington Academy,6354739,774016,2022,,East Machias,ME,B25Z,0
10231382,Springvale Public Library Association,360068,-27054,2021,,Springvale,ME,,0
10233275,Veterans Of Foreign Wars Of The United States Dept Of Maine,294094,-28379,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F010233275_202106_990O_2022071820226935.pdf,Winslow,ME,,0
10234189,Northern Maine Medical Center,71628259,3041234,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010234189_202109_990_2022082220291412.pdf,Fort Kent,ME,E20Z,0
10234428,Mt Pleasant Cemetery Assoc,192778,117714,2022,,Eliot,ME,,0
10236928,Benevolent & Protective Order Of Elks Of The Usa,126014,-24720,2021,,Old Town,ME,Y40Z,0
10237244,Lee Academy,3254955,144642,2021,,Lee,ME,,0
10237721,University Of Maine Pulp And Paper Foundation,5221820,3617246,2021,,Orono,ME,S41Z,0
10237912,Young Mens Christian Association Booth Bay Region,5989695,2812945,2021,,Boothbay Hbr,ME,,0
10238552,Mainehealth,3168653743,323809481,2021,,Portland,ME,E220,0
10238760,Brick Store Museum,409337,19336,2021,,Kennebunk,ME,A540,0
10239259,Maine Oil Dealers Association,1757717,239482,2021,,Brunswick,ME,,0
10239808,Lincoln County Historical Association,117514,14639,2021,,Wiscasset,ME,A82Z,0
10240874,North Yarmouth Cumberland Mutual Fire Ins Co,129573,71151,2021,,Portland,ME,,0
10241055,Maine Secondary School Principals Association,2173473,300661,2022,,Augusta,ME,B20C,0
10241528,Southwest Harbor Public Library,804852,274021,2021,,Southwest Hbr,ME,,0
10241767,United Way Inc,9363699,-291758,2021,,Portland,ME,T70Z,0
10242328,Bucks Harbor Yacht Club,358537,122072,2021,,Blue Hill,ME,,0
10243254,Morrison Center,18280968,2654787,2021,,Scarborough,ME,G23Z,0
10243548,Haystack Mountain School Of Crafts,9949863,7788982,2021,,Deer Isle,ME,B20Z,0
10244422,Laborers International Union Of North America,230375,-21855,2021,,Augusta,ME,,0
10244457,New England Electric Railway Historical Society,3104228,2059998,2021,,Kennebunkport,ME,,0
10245261,Erskine Academy,8919635,914334,2022,,South China,ME,B25Z,0
10245341,Cornelia Warren Community Assn Inc,461464,28545,2021,,Vero Beach,FL,O200,0
10246278,Foxcroft Academy Trustees,10035137,-170575,2021,,Dovr Foxcroft,ME,B24Z,0
10246546,Ruggles House Society,55963,17857,2022,,Columbia Fls,ME,,0
10246665,Ervin A Center Memorial Clinic Hospital,26226,19623,2022,,Steep Falls,ME,,0
10246804,Vna Home & Hospice,50557117,2012543,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010246804_202109_990_2022082220290548.pdf,Brewer,ME,E920,0
10247002,George Stevens Academy,6240531,243266,2021,,Blue Hill,ME,B25Z,0
10248224,Maine Credit Union League,1622181,-40008,2021,,Portland,ME,,0
10248780,Maine Audubon Society,3571759,590064,2021,,Falmouth,ME,C27,0
10249577,Breakwater Learning,3833883,344104,2021,,Portland,ME,B20Z,0
10249865,Wiscasset Public Library,357874,31183,2021,,Wiscasset,ME,B71Z,0
10261000,State Chartered Credit Unions In Maine,2472839,315604,2021,,Sabattus,ME,,0
10262323,Northern Maine General,9847119,-122232,2022,,Eagle Lake,ME,E20Z,0
10262394,Louis T Graves Memorial Public Library Association,631926,227426,2021,,Kennebunkport,ME,B71Z,0
10262638,Bar Harbor Chamber Of Commerce,664781,176888,2021,,Bar Harbor,ME,,0
10262891,Small Point Summer School Inc,165764,50341,2021,,Medfield,MA,,0
10263198,Down East Community Hospital,63014552,10974123,2021,,Machias,ME,E22,0
10263385,Thomas College,38748882,4662982,2021,,Waterville,ME,B420,0
10263507,Central Aroostook Association,8687075,352775,2022,,Presque Isle,ME,P820,0
10263519,Trustees Of Leavitt Institute,767509,516558,2022,,North Turner,ME,B25I,0
10263628,Eastern Maine Healthcare Systems,56748491,10041895,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010263628_202109_990_2022082220290544.pdf,Brewer,ME,E200,0
10263908,Skowhegan School Of Painting And Sculpture Inc,5437614,2595832,2021,,New York,NY,A250,0
10263908,Skowhegan School Of Painting And Sculpture Inc,5437614,2595832,2021,,New York,NY,A250,0
10264870,Christmas Cove Improvement Assoc,468534,81970,2021,,Damariscotta,ME,,0
10265231,Uplift Inc,7169560,206840,2022,,Gardiner,ME,P820,0
10265292,Kennebunk Kennebunkport Chamber Of Commerce,463186,121230,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010265292_202109_990O_2022082220288477.pdf,Kennebunk,ME,,0
10265559,Kennebec Valley Mental Health Center,37798885,883183,2021,,Waterville,ME,F80Z,0
10265648,New England Music Camp Association,3176562,256692,2021,,Sidney,ME,,0
10266289,Maine Hospital Association Inc,3099261,415212,2021,,Augusta,ME,,0
10266478,Veterans Of Foreign Wars Of The United States Dept Of Maine,178363,33016,2021,,Sanford,ME,,0
10266478,Veterans Of Foreign Wars Of The United States Dept Of Maine,178363,33016,2021,,Sanford,ME,,0
10266549,Kennebec Valley Humane Society,1993160,1055204,2021,,Augusta,ME,D200,0
10266854,Elmhurst Inc,4047528,-67896,2022,,Bath,ME,G200,0
10266854,Elmhurst Inc,4047528,-67896,2022,,Bath,ME,G200,0
10267392,Maine Childrens Home For Little Wanderers,2193841,140662,2021,,Waterville,ME,,0
