EIN_value,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
541201084,IN WRITING - APPLICANT MUST INCLUDE FEDERAL IDENTIFICATION NUMBER APPLICATIONS WILL SOON MIGRATE TO A PROPRIETARY ONLINE PORTAL.,ORRAN L BROWN,NONE,LIMITED TO IRC SECTION 501(C)(3) ORGANIZATIONS,no,N/A
264190675,THERE IS NO STANDARD APPLICATION FORM. A LETTER REQUESTING A CONTRIBUTION IS SUFFICIENT.,FRANK PTAK,THERE ARE NO SUBMISSION DEADLINES.,"ORGANIZATIONS MUST BE EDUCATIONAL, RELIGIOUS OR CHARITABLE AS DEFINED BY IRC SECTION 170(C).",no,N/A
586041060,"WRITTEN STANDARD COLLEGE SCHOLARSHIP APPLICATION ON FILE AT 108 OLD MILL ROAD, CARTERSVILLE, GA. AND HIGH SCHOOLS WITHIN BARTOW COUNTY, GA. ADDITIONAL REQUIRED MATERIALS INCLUDE OFFICIAL HIGH SCHOOL TRANSCRIPT.",MS DOT FRASIER-HALL,"DEADLINE: MARCH 11, 2022","THERE ARE NO RESTRICTIONS OR LIMITATIONS REGARDING THE AWARDING OF SCHOLARSHIP GRANTS. HOWEVER, PREFERENCE IS USUALLY GIVEN TO APPLICANTS IN THE BARTOW COUNTY, GEORGIA GEOGRAPHIC AREA.",no,N/A
812847018,Letter of Request.,Kenneth Slavens,End of Calander Year,None,no,N/A
386480250,SEE APPLICATION ATTACHED,BARBARA PIERCE LOWELL HIGH SCHOOL,APRIL 1,"HIGH SCHOOL GRADUATES LIVING IN THE LOWELL MICHIGAN PUBLIC SCHOOL DISTRICT WHO WISH TO CONTINUE THEIR EDUCATION AT A COLLEGE, UNIVERSITY, TECHNICAL OR OTHER SIMILAR ADVANCED EDUCATION OR TRAINING.",no,N/A
237418062,LETTER WITH DESCRIPTION OF CHARITY AND ITS CHARITABLE PURPOSE.,WILLIAM STANTON,NONE,NONE,no,N/A
116033504,"DETAILED LETTER EXPLAINING REASON FOR GRANT REQUEST, USE OF FUNDS, QUALIFICATIONS OF RECEIPIENT AND AMOUNT REQUESTED WITH PROGRESS REPORTS ON REQUEST.",PAUL B MURRAY JR,NONE,ONLY TAX EXEMPT ORGANIZATIONS ARE ELIGIBLE.,no,N/A
330883785,N/A,,,,no,N/A
133942022,NO SPECIFIC FORM,SHAWN GLADSTONE,NONE,NONE,no,N/A
844116367,2 PG APPLICATION FORM 1 PAGE ESSAY AND 1 MINUTE VIDEO,VJ ANDREW HGH SCHOOL,MARCH 12TH,NONE,no,N/A
742729929,Submit a letter outlining objectives of project budget of time and costs and details of who will direct and carry out the project.,The Bamberger Foundation,11 30 2023,"Grants are limited to no more than $10,000 to any one organization per year and are made primarily for educational projects in the fields of conservation and environmental protection.",no,N/A
136067724,"LETTER FORM - WHEN DISABLED, DOCTOR BILLS",ROSELLA HUNTER,N/A,N/A,no,N/A
510301470,NO PRESCRIBED FORM,DENISE BAROSKI,NONE,NONE,no,N/A
752719413,SUBMISSION SHOULD BE IN LETTER FORM STATING THE USE TO BE MADE OF THE GIFT AND THE QUALIFICATIONS OF THE ORGANIZATION REQUESTING THE GIFT.,CLAYTON ELLIOTT,NONE,NONE,no,N/A
141859319,N/A,DAVID AND JACQUELINE SIMON,N/A,N/A,no,N/A
752260316,LETTER SHOULD ADDRESS PHYSICAL HANDICAP OF CHILD AND NEEDS AND/OR OTHER REQUESTED ASSISTANCE.,M W FAIR MILLER FOUNDATION,NONE,NONE,no,N/A
222393682,"SEE STATEMENT 12 FORM 990-PF, PART XV, LINE 2A-D APPLICATION FOR SUBMISSION INFORMATION LETTER CONTAINING DESCRIPTION OF ORGANIZATION, AMOUNT OF FUNDING REQUIRED AND FOR WHAT PURPOSE.",PAUL L GROSS,NONE,NONE,no,N/A
746050591,A LETTER OUTLINING THE PURPOSE FOR WHICH THAT MONEY IS TO BE USED.,JEFF LOVE PRESIDENT,NONE,SHOULD BE ORGANIZATION DESCRIBED IN IRC SECTION 501 (C) (3),no,N/A
208460936,"REQUESTS ARE TO BE SUBMITTED ON THE APPROVED FOUNDATION GRANT REQUEST FORM. GRANT REQUESTS MUST BE RETURNED TO BETHANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS. REQUESTS FORMS WILL BE AVAILABLE FROM JULY 1 TO SEPTEMBER 1.",BETHANY LUTHERAN FOUNDATION OF FRED,SEPTEMBER 1 AND SEPTEMBER 15.,"THE GRANT WRITER MUST BE ACTIVELY AND PERSONALLY INVOLVED IN THE ACTIVITY OR ORGANIZATION FOR WHICH THE FUNDS ARE REQUESTED. PROJECTS MUST BE IN HARMONY WITH THE MISSION STATEMENT OF BEHTANY LUTHERAN FOUNDATION OF FREDERICKSBURG, TEXAS INC. ""ADVANCING AND SUPPORTING THE DISCIPLESHIP OF JESUS CHRIST"" WITH SPECIAL CONSIDERATION GIVEN TO LOCAL BENEVOLENCES.",no,N/A
237278001,NO SPECIFIC FORMAT,LINDSEY BROCK,NONE,NONE,no,N/A
352157206,NO REQUIRED FORMS,LAURENCE STEENBERG,NONE,FOR CHARITABLE PURPOSE,no,N/A
264765351,N/A,St Francis Foundation,December 31,,no,N/A
753140887,N/A,TRACY FERNBACHER,N/A,N/A,no,N/A
834530801,REQUEST SHOULD BE IN WRITING AND MAILED TO ADDRESS NOTED,MAX HUBKA,THERE ARE NO SUBMISSION DEADLINES,NO RESTRICTIONS,no,N/A
953538758,NOT APPLICABLE,CHARLES F NICHOLS,NOT APPLICABLE NON APPLICABLE,NOT APPLICABLE,no,N/A
311139525,LETTER FORM WITH REQUEST AND USE OF FUNDS.,JENNIFER OTCHY,NO DEADLINE,LEGAL EDUCATION IN OHIO,no,N/A
871824915,N A,DANESE DANIEL,N A,N A,no,N/A
581873723,FORM AVAILABLE UPON REQUEST,ELIZABETH BROWN DIXON,NONE,APPLICANTS MUST BE REFERRED BY ANOTHER ORGANIZATION.,no,N/A
824194664,Requests can be submitted in letter form or online application,Idaho Fraternal Order of Police,None,A member of the Idaho Fraternal Order of Police Foundation,no,N/A
371234288,SCHOLARSHIP APPLICATION FORM OBTAINABLE FROM ANN WEYHRICH,ANN WEYHRICH,NONE,NURSING STUDENT FROM THE PRINCEVILLE SCHOOL DISTRICT #326,no,N/A
260782312,N/A,LOREE SCHWARTZ,,,no,N/A
205027803,N/A,,,FUNDS MADE AVAILABLE TO CHILDREN OF EMPLOYEES THAT HAVE BEEN EMPLOYED BY COMPANY FOR AT LEAST FIVE YEARS OR FOR THE GRANDCHILDREN OF EMPLOYEES THAT HAVE BEEN EMPLOYED FOR AT LEAST FIFTEEN YEARS.,no,N/A
366101775,THERE ARE NO STANDARD APPLICATION FORMS. A LETTER REQUESTING A CONTRIBUTION IS SUFFICIENT.,KAREN B CONNELL,THERE ARE NO SUBMISSION DEADLINES.,"ORGANIZATIONS MUST BE EDUCATIONAL, RELIGIOUS, OR CHARITABLE AS DEFINED UNDER IRC SECTION 170(C).",no,N/A
043556853,WRITTEN FORMAT,ROSMARIE H SCULLY,NONE,NONE,no,N/A
043235379,Letter of Request,Susan M Poduska,None,None,no,N/A
476874927,N/A,DENNIS REED,NONE,NONE,no,N/A
046907315,NO SPECIAL FORM,THE ROMNEY FOUNDATION FOR CHILDREN,N/A,N/A,no,N/A
521300410,APPLICATIONS SHOULD BE SUBMITTED IN WRITTEN FORM INDICATING THE NEED INVOLVED AND A STATEMENT OF FACTS OUTLINING THE SITUATION. APPLICANTS ARE SCREENED BY INTERVIEWS ON AN INDIVIDUAL BASIS.,HARRISON CONRAD MEMORIAL TRUST CO,APRIL 1ST,"PER TERMS OF WILL: CHILDREN FROM THE TOWN OF LEESBURG OR LOUDON COUNTY VIRGINIA, SUFFERING POLIO OR MUSCLAR DYSTROPHY OR ANY OTHER CRIPPLING DISEASE WHOSE FAMILIES CANNOT AFFORD TO PROVIDE FOR THEIR EXPENSES.",no,N/A
066138018,ANY,SELECTION COMMITTEE AT THE CATHEDRA,NONE,GRADUATES OF THE CATHEDRAL CHOIR SCHOOL REQUIRING MONETARY ASSISTANCE FOR FURTHER EDUCATION. MONEY CAN BE USED FOR THE CARE AND EDUCATION OF THE STUDENT AT THE SCHOOL OR ASSIST GRADUATES OF THE SCHOOL,no,N/A
396097597,"LETTER OF APPLICATION SETTING FORTH THE PROGRAM OR PROJECT FOR WHICH THE GRANT IS SOUGHT ENCLOSING BROCHURES OR OTHER MATERIAL, BUDGET INFORMATION, C/IRS 501(C)(3) EXEMPTION LETTER, LIST OF BOARD OF DIRECTORS.",JOHN A TREIBER EXECUTIVE DIRECTOR,"PRIOR TO QUARTERLY MEETING IN JAN, APRIL, JULY AND OCTOBER.","GREATER MILWAUKEE, WI; NO INDIVIDUAL GRANTS; NO SCHOLARSHIPS.",no,N/A
611580005,Letter Format,Thomas J Joseph,None,None,no,N/A
741386236,REQUEST FOR GRANT SHOULD BE RECEIVED ON ORGANIZATION'S LETTERHEAD AND SIGNED BY A MEMBER OF THE BOARD OF DIRECTORS OR AN OFFICER. PROVIDE:,Melissa Adams,A) SPECIFIC INFORMATION RELATED TO USE OF GRANT B) COPY OF IRS EXEMPTION LETTER,"C) MOST RECENT FINANCIAL STATEMENT D) LIST OF BOARD MEMBERS E) CHARTER AND/OR BY LAWS F) PROJECT BUDGET G) IRS FORM W-9 SUBMISSION DEADLINES: MARCH 31, JULY 31, AND OCTOBER 31",no,N/A
454092966,The Foundation accepts direct mail solictation from nationally recognized charitable organizations as well selected other charitable organization. All charitable organization are researched to ensure charitable recognition and effectiveness of the organizations. The Foundation also accept written applications detailing purpose of request (use of funds) and how it furthers the exempt purpose of the requesting organization. Application must include determination letter and copy of lastest 990 and financial statements,Stephen W Craig,"None, Accepted throughout year",None,no,N/A
223125086,"LETTER WITH FINANCIAL INFORMATION AND TYPE OF ORGANIZATION, CHARTABLE, EDUCATION",JOHN MOORE,NO,CONTRIBUTIONS MADE ONLY TO QUALIFIED AND TAX-EXEMPT ORGANIZATIONS,no,N/A
020814904,Letter of request,Norman and Diane Aardema,None,None,no,N/A
461631934,"GRANT APPLICATIONS ARE TO BE COMPLETED ONLINE. THE INFORMATION SHOULD INCLUDE DETAIL ON THE IMMEDIATE AND EMERGENCY NEEDS OF THE APPLICANT, AS WELL AS THE PURPOSE OF THE AID REQUESTED (REQUIRED IN AN ESSAY FORMAT). THE FINANCIAL NEED FOR THE APPLICANT IS ALSO VERIFIED EITHER THROUGH THE FREE/REDUCED MEAL PROGRAM PARTICIPATION AT SCHOOL, TAX RETURNS THAT SHOW IRS ADJUSTED GROSS INCOME AT THE POVERTY LEVEL, OR MONTHLY INCOME STATEMENTS PROVIDED THAT SHOW THE APPLICANT IS AT OR BELOW THE POVERTY LEVEL.",JAYRE ZIMMERMAN,NONE AS THE PROGRAM IS OPEN AND ONGOING.,NONE AT THIS TIME. THE PROGRAM IS EVIDENCE-BASED REGARDING NEED ON AN INDIVIDUAL APPLICATION BASIS.,no,N/A
742875627,"TED NASH LONG LIFE FOUNDATION EACH APPLICATION SHOULD BEGIN WITH A DESCRIPTIVE TITLE, FOLLOWED BY SUMMARY OF ABOUT 250 WORDS, AND FINALLY, A DESCRIPTION OF THE PROPOSED RESEARCH OF ABOUT 1,000 WORDS. THE APPLICATION SHOULD BE WRITTEN FOR LAYMEN WITH A REASONABLE KNOWLEDGE OF MEDICINE. THERE WILL BE A COVER PAGE WITH EACH GRANT THAT IDENTIFIES THE INSTITUTION AND THE PRINCIPAL INVESTIGATOR. THE COVER PAGE WILL BE REMOVED BEFORE THE GRANTS ARE REVIEWED BY THE BOARD OF DIRECTORS AND THEIR ADVISORS SO THAT THE PRINCIPAL INVESTIGATORS AND THE INSTITUTIONS THAT SUBMITTED THE GRANTS WILL NOT BE KNOWN TO THE BOARD OF DIRECTORS.",TED NASH LONG LIFE FOUNDATION,TED NASH LONG LIFE FOUNDATION OCTOBER 1ST,"TED NASH LONG LIFE FOUNDATION THE SEVEN MEDICAL SCHOOLS IN THE STATE OF TEXAS AND THE MAYO CLINIC CAN EACH SUBMIT TWO APPLICATIONS. TWO TO SIX GRANTS WILL BE AWARDED AT THE LEVEL OF UP TO $100,000 PER YEAR FOR TWO YEARS.",no,N/A
274256513,"EMAIL REQUEST INCLUDING DETAILED DESCRIPTION OF THE CAUSE, AMOUNT REQUESTED, FULL NAME, ADDRESS, AND PHONE NUMBER OF RECIPIENT.",JACKIE WILLIAMS,NONE,GRANTS WILL BE AWARDED ON A CASE BY CASE BASIS.,no,N/A
453036156,N/A,SHAYNE ANDERSON,N/A,N/A,no,N/A
208931607,Letter request,John V Samuel,None,None,no,N/A
371098809,As supplied by Beardstown High School,Beardstown High School,May 1 annually,Must be a graduate of Beardstown High School,no,N/A
426062134,SEE ATTACHED,CAROL KIERNAN,NONE,"APPLICANTS MUST BE RESIDENTS OF MADISON COUNTY, IOWA, PHYSICALLY HANDICAPPED, AND UNDER THE AGE OF 21 YEARS WHEN THEY FIRST APPLY.",no,N/A
912052424,SEE ATTACHED SCHOLARSHIP APPLICATION FORM.,LEONARD J TIMMS JR,FEBRARY 15,"MUST BE A RESIDENT OF THE FOLLOWING COUNTIES IN WV - HARRISON, MARION, DODDRIDGE, TAYLOR; MUST MAJOR IN DANCE, MUSICAL THEATRE, DRAMA OR VOCAL PERFORMANCE; THE SCHOLARSHIP IS FOR ONE YEAR ONLY, BUT MAY BE RENEWED BY REAPPLICATION; SCHOLARSHIP RANGE IS FROM 500 - 3,000 PER YEAR.",no,N/A
311579648,"IN WRITING WITH SPECIFIC DETAILS AS TO HOW THE FUNDS WILL BE USED.IN PARTICULAR THE NUMBER OF PERSONS IT WILL ASSIST, HOW IT WILL ASSIST THEM AND IF CHILDREN ARE BEING HELPED.",THE RENAISSANCE FOUNDATION,NONE,HIGHER PRIORITY IS GIVEN TO PROGRAMS ASSISTING CHILDREN,no,N/A
463149634,N/A,WILLIAM HINTON,,,no,N/A
930477693,APPLICATIONS AVAILABLE UPON REQUEST.,DAN CENIGA,SEE STATEMENT FOR LINE 2A,SEE STATEMENT FOR LINE 2A,no,N/A
521323628,"APPLICATIONS MAY BE SUBMITTED IN LETTER FORM AND SHOULD INCLUDE DESCRIPTIVE BROUCHURES, PAMPHLETS, ETC. OR A NARRATIVE DESCRIPTION OF THE RELIGIOUS PROGRAMS OR ACTIVITIES FOR WHICH THE GRANT IS SOUGHT. APPLICANTS WILL ALSO BE REQUIRED TO SIGN A STATEMENT OF TERMS AND CONDITIONS OF THE GRANT.",BRUCE GREGORY,THERE ARE NO SUBMISSION DEADLINES FOR GRANT APPLICATIONS.,"AWARDS OF GRANTS ARE RESTRICTED TO THE FOUNDATION'S PURPOSE OF SUPPORTING CHRISTIAN ACTIVITIES. OTHER THAN THE OVERALL LIMITATION, THERE ARE NO RESTRICTIONS OR LIMITATIONS ON AWARDS, SUCH AS GEOGRAPHICAL AREAS OR TYPES OF RECIPIENTS.",no,N/A
465660420,"LETTER, WEBSITE APPLICATION",PHILIP MARGOLIUS,NONE,EXEMPT ORGANIZATIONS UNDER IRC SECTION 501(C)(3) FOR PUBLIC CHARITABLE PURPOSES,no,N/A
276368479,WRITTEN FORM WITH DESCRIPTION OF CHARITABLE PURPOSES AND EVIDENCE OF CHARITABLE/EXEMPT STATUS UNDER INTERNAL REVENUE CODE SECTION 501(C)(3).,SCOTT D REED,NONE,LIMITED TO DISTRIBUTIONS FOR CHARITABLE PURPOSES UNDER 501(C)(3).,no,N/A
611467176,SEE WEBISTE FOR MORE INFORMATION AT _s://learnmore.scholarsapply.org/duffscholarship/,CO SCHOLARSHIP AMERICA,SEE WEBSITE FOR MORE INFORMATION _s://learnmore.scholarsapply.org/duffscholarship/,"ALLEGHENY COUNTY, PA STUDENTS OF PROTESTANT FAITH, AND ATTENDING A FULL-TIME PROGRAM LEADING TO AN INITIAL BACHELOR'S DEGREE",no,N/A
562298823,APPLICANT SHOULD SUBMIT THEIR REQUEST IN WRITING.,ANN H CLARK,NONE,NONE,no,N/A
396611696,COMPLETE APPLICATION,SCHOOL DISTRICT OF TOMAHAWK,NONE,THE PURPOSE OF THE TRUST IS TO GENERATE INVESTMENT INCOME TO PROVIDE SCHOLARSHIPS OF ADVANCED EDUCATION TO QUALIFYING STUDENTS WHO HAVE GRADUATED FROM THE TOMAHAWK SCHOOL SYSTEM.,no,N/A
237375850,LETTER REQUEST,RICKY S KAPLAN CPA,NONE,NONE,no,N/A
133986239,N/A,ONG FAMILY FOUNDATION CO LAW OFFICE,,,no,N/A
416022591,N/A,SANDRA SHERMAN,N/A,N/A,no,N/A
746216234,FORMAL APPLICATION FORM FROM SCHOOL,ALVIN HIGH SCHOOL PRINCIPAL,AS DETERMINED BY THE SCHOOL EACH YEAR IN FEBRUARY OR MARCH,"THE TRUST, BY ITS TERMS, IS LIMITED TO GRADUATING SENIORS OF ALVIN ISD",no,N/A
831421335,Written request,A Tse Family Foundation,Calendar year end,Board discretion,no,N/A
237171119,N/A,NICOLE MENCHISE DIRECTOR,,,no,N/A
742522314,SEE ATTACHMENT,ESTHER MCCULLOCH DANSBY PAULINE MCC,NONE,SEE ATTACHMENT,no,N/A
473797993,WRITTEN OR TELEPHONE CALL,JAMIE BAKER,NONE,NONE,no,N/A
956145871,NONE,IRWIN S FIELD,NONE,NONE,no,N/A
810772404,IN WRITING,PHILIP H HUNKE,NONE,NONE,no,N/A
810876820,NONE,MARY H SMITH,NONE,NONE,no,N/A
746035096,written application,Douglas Rogers,December 31,None,no,N/A
823313027,"The Ram and Lakshmi Sundaram Foundation provides grants to organizations that satisfy the mission of the FoundationTo provide resources and support to improve the lives of culturally, socially and economically disadvantaged persons. The Foundation provides grants to organizations in the United States that have been determined by the IRS to be 501(c)(3) charities. Many organizations solicit the Foundation for grants. It is the responsibility of the Foundation to identify and determine those groups that effectively meet the mission of the Foundation. Contribution requests that will be considered by the Foundation include the following categories: Requests for funds for general operating support or program related supportRequests for sponsorship of functions or events in support of non-profit organizationsRequests for grants will be reviewed by the Foundation. All grant requests must be made in accordance with this policy. The Foundations award letter specifies the terms of the grant, inc",LAKSHMI SUNDARAM,NONE,"The following categories are ineligible for CRA charitable contributions: Political, labor, fraternal organizations or civic clubs Religious organizations for sectarian purposes National health organizations or advocacy groups representing a specific disease Travel events, including student trips and tours Scholarship or fellowship assistance for a specified individual Memorial Campaigns Dues for membership of any group or organization Requests for other special advertising requests or premium items",no,N/A
716102641,"WRITTEN REQUEST DETAILING PROPOSED USE OF FUNDS AND QUALIFICATION AS CHARITABLE INSTITUTION IN ACCORDANCE WITH LINE 2(D), BELOW EMPLOYER ID AND A COPY OF EXEMPTION LETTER FROM THE IRS.",ANITA A DAVIS,NONE,"CHARITABLE ORGANIZATIONS WHICH WILL BE GIVEN PREFERENCE FOR DISTRIBUTIONS ARE: (1) ESTABLISHED AND RECOGNIZED RELIGIOUS ORGANIZATIONS; (2) RECOGNIZED, ACCREDITED, CHURCH-SUPPORTED COLLEGES AND UNIVERSITIES; (3) CHARITABLE INSTITUTION IN MURFREESBORO, AR; (4) CHARITABLE INSTITUTION IN THE STATE OF ARKANSAS; (5) CHURCH-SUPPORTED ORPHANAGES 6)ORGANIZATIONS WORKING TO SUPPORT INDIVIDUALS IN NEED",no,N/A
237024746,NONE,DOUGLAS I GOODWIN,NONE,NONE,no,N/A
223186876,Letters describing the petitioning organization and proposed use of grant,Watson Reid,None,"Grants limited to funding or support of charitable, education, etc.",no,N/A
260152202,"COMPLETED APPLICATION, TWO LETTERS OF RECOMMENDATION, SCHOOL TRANSCRIPTS, ESSAY AND SPONSOR'S CONTACT INFORMATION.",CHRIS GLATZ,MAY 2022,"APPLICANTS FOR THE SCHOLARSHIPS MUST BE EITHER A PERSON WHO IS, OR A DEPENDENT AND/OR RELATIVE OF (1) A CURRENT CHICAGO/MIDWEST CHAPTER MEMBER; (2) A FORMER MEMBER WHO HAS DIED, BECOME DISABLED OR RETIRED FROM THE INDUSTRY; OR, LASTLY, (3) A PERSON WHO HAS WORKED IN THE INDUSTRY AND HAS BEEN REFERRED TO THE COMMITTEE BY CRITERIA NUMBER ONE OR TWO.",no,N/A
020439653,Applications provided to Manchester High School Central to disseminate.,Richard Thorner Esq,End of school year.,Manchester HS Central women pursuing liberal arts degrees at non-denominational colleges/univ.,no,N/A
842549813,CONTACT MR. CANTOR FOR APPROPRIATE INFORMATION,MARK CANTOR,NO,NO,no,N/A
392001599,NO SPECIFICATIONS,JUDY C PIERNER,NONE,STATE OF WISCONSIN,no,N/A
710849172,WRITE TO ABOVE ADDRESS FOR FORMS,DR NOOR GILLANI,NONE,NONE,no,N/A
237423943,APPLICATIONS MUST BE SUBMITTED ONLINE AT WWW.TRULLFOUNDATION.ORG.,NELLIE LEE,NONE.,"NO SCHOLARSHIPS OR OTHER FUNDS ARE GRANTED TO INDIVIDUALS. FUNDS ARE ONLY GRANTED TO ORGANZIATIONS WITH A CURRENT INTERNAL REVENUE 501C(3) DOCUMENT OR TO: (1) DEPARTMENTS, AGENCIES, AND OTHER SERVICES OPERATED WITHIN FEDERAL, STATE, OR LOCAL GOVERNMENT AGENCIES AND (2) INSTITUTIONS AND AGENCIES AFFILIATED WITH ORGANIZED RELIGIONS AND RELIGIOUS BODIES.",no,N/A
832782128,N/A,MELODIE ROGERS,N/A,N/A,no,N/A
